"","ECO_CLI","ID_SITE","DATE","effectif_jour_mean","peak_date"
"378","Atlantic","32PL2",2009-12-08,24,2009-06-25
"379","Atlantic","32PL2",2009-12-15,0,2009-06-25
"380","Atlantic","33PL1",2009-07-24,1855,2009-06-25
"381","Atlantic","33PL1",2009-08-21,388,2009-06-25
"382","Atlantic","33PL1",2009-09-16,105,2009-06-25
"383","Atlantic","33PL1",2009-10-07,101,2009-06-25
"384","Atlantic","33PL1",2009-10-14,3,2009-06-25
"385","Atlantic","33PL1",2009-10-21,494,2009-06-25
"386","Atlantic","33PL1",2009-10-28,36,2009-06-25
"387","Atlantic","33PL1",2009-11-04,17,2009-06-25
"388","Atlantic","33PL1",2009-11-11,0,2009-06-25
"389","Atlantic","33PL1",2009-11-18,1,2009-06-25
"390","Atlantic","33PL1",2009-11-25,0,2009-06-25
"391","Atlantic","33PL1",2009-12-02,0,2009-06-25
"392","Atlantic","33PL1",2009-12-09,13,2009-06-25
"393","Atlantic","33PL1",2009-12-16,0,2009-06-25
"394","Atlantic","35PL1",2009-07-21,20823,2009-06-25
"395","Atlantic","35PL1",2009-08-18,2830,2009-06-25
"396","Atlantic","35PL1",2009-10-06,2901,2009-06-25
"397","Atlantic","35PL1",2009-10-15,95,2009-06-25
"398","Atlantic","35PL1",2009-10-20,2,2009-06-25
"399","Atlantic","35PL1",2009-10-27,476,2009-06-25
"400","Atlantic","35PL1",2009-11-03,314,2009-06-25
"401","Atlantic","35PL1",2009-11-10,64,2009-06-25
"402","Atlantic","35PL1",2009-11-17,700,2009-06-25
"403","Atlantic","35PL1",2009-11-24,7,2009-06-25
"404","Atlantic","35PL1",2009-12-01,17,2009-06-25
"405","Atlantic","35PL1",2009-12-08,0,2009-06-25
"406","Atlantic","35PL1",2009-12-15,0,2009-06-25
"407","Atlantic","35PL2",2009-07-21,5506,2009-06-25
"408","Atlantic","35PL2",2009-08-18,579,2009-06-25
"409","Atlantic","35PL2",2009-10-06,1436,2009-06-25
"410","Atlantic","35PL2",2009-10-15,25,2009-06-25
"411","Atlantic","35PL2",2009-10-20,3,2009-06-25
"412","Atlantic","35PL2",2009-10-27,507,2009-06-25
"413","Atlantic","35PL2",2009-11-03,215,2009-06-25
"414","Atlantic","35PL2",2009-11-17,1532,2009-06-25
"415","Atlantic","35PL2",2009-11-24,18,2009-06-25
"416","Atlantic","35PL2",2009-12-01,0,2009-06-25
"417","Atlantic","35PL2",2009-12-08,1,2009-06-25
"418","Atlantic","35PL2",2009-12-15,0,2009-06-25
"419","Atlantic","36PL1",2009-07-22,1283,2009-06-25
"420","Atlantic","36PL1",2009-08-19,1263,2009-06-25
"421","Atlantic","36PL1",2009-10-07,1190,2009-06-25
"422","Atlantic","36PL1",2009-10-14,22,2009-06-25
"423","Atlantic","36PL1",2009-10-21,353,2009-06-25
"424","Atlantic","36PL1",2009-10-28,0,2009-06-25
"425","Atlantic","36PL1",2009-11-04,0,2009-06-25
"426","Atlantic","36PL1",2009-11-12,17,2009-06-25
"427","Atlantic","36PL1",2009-11-18,1,2009-06-25
"428","Atlantic","36PL1",2009-11-25,1,2009-06-25
"429","Atlantic","36PL1",2009-12-02,0,2009-06-25
"430","Atlantic","36PL1",2009-12-09,0,2009-06-25
"431","Atlantic","36PL2",2009-06-25,5901,2009-06-25
"432","Atlantic","36PL2",2009-07-22,1150,2009-06-25
"433","Atlantic","36PL2",2009-08-19,4518,2009-06-25
"434","Atlantic","36PL2",2009-10-08,2380,2009-06-25
"435","Atlantic","36PL2",2009-10-16,0,2009-06-25
"436","Atlantic","36PL2",2009-10-22,0,2009-06-25
"437","Atlantic","36PL2",2009-10-27,12,2009-06-25
"438","Atlantic","36PL2",2009-11-05,0,2009-06-25
"439","Atlantic","36PL2",2009-11-11,1,2009-06-25
"440","Atlantic","36PL2",2009-11-20,1,2009-06-25
"441","Atlantic","36PL2",2009-11-26,0,2009-06-25
"442","Atlantic","36PL2",2009-12-03,0,2009-06-25
"443","Atlantic","36PL2",2009-12-08,0,2009-06-25
"444","Atlantic","36PL2",2009-12-17,0,2009-06-25
"445","Atlantic","37PL1",2009-07-22,1577,2009-06-25
"446","Atlantic","37PL1",2009-10-08,1696,2009-06-25
"447","Atlantic","37PL1",2009-10-14,142,2009-06-25
"448","Atlantic","37PL1",2009-10-21,329,2009-06-25
"449","Atlantic","37PL1",2009-10-28,30,2009-06-25
"450","Atlantic","37PL1",2009-11-04,0,2009-06-25
"451","Atlantic","37PL1",2009-11-10,9,2009-06-25
"452","Atlantic","37PL1",2009-11-18,4,2009-06-25
"453","Atlantic","37PL1",2009-11-25,25,2009-06-25
"454","Atlantic","37PL1",2009-12-02,1,2009-06-25
"455","Atlantic","37PL1",2009-12-09,9,2009-06-25
"456","Atlantic","37PL1",2009-12-16,0,2009-06-25
"457","Atlantic","37PL2",2009-07-21,747,2009-06-25
"458","Atlantic","37PL2",2009-08-21,0,2009-06-25
"459","Atlantic","37PL2",2009-10-07,130,2009-06-25
"460","Atlantic","37PL2",2009-10-13,32,2009-06-25
"461","Atlantic","37PL2",2009-10-20,2,2009-06-25
"462","Atlantic","37PL2",2009-10-27,9,2009-06-25
"463","Atlantic","37PL2",2009-11-03,1,2009-06-25
